LK_CODE,DN,area
BEA,3,276
BEA,4,31399
BEA,5,9720
BEA,6,791
BEA,7,1583
BEA,8,155723
BEA,9,863655
BEA,10,198147
BEA,11,246940
BEA,12,144720
BEA,13,24998
BEA,14,4240
BEA,15,36177
BEA,19,3957
BEA,20,1583
BEA,21,1.2776e+06
BEL,2,4.348e+06
BEL,3,7.23247e+06
BEL,4,1.05143e+07
BEL,5,1.00472e+07
BEL,6,575338
BEL,7,522513
BEL,8,626280
BEL,9,4.09426e+06
BEL,10,259335
BEL,11,375305
BEL,12,359334
BEL,13,2.07514e+06
BEL,14,296492
BEL,15,759194
BEL,19,94931
BEL,20,100520
BEL,21,4.92386e+06
BOG,3,72034
BOG,4,437235
BOG,5,245877
BOG,6,17889
BOG,7,26119
BOG,8,36458
BOG,9,731594
BOG,10,28320
BOG,11,81007
BOG,12,31652
BOG,13,167085
BOG,14,62502
BOG,15,30868
BOG,19,11081
BOG,20,1583
BOG,21,292852
BRI,2,1.16599e+06
BRI,3,2.42141e+06
BRI,4,7.74735e+06
BRI,5,7.28999e+06
BRI,6,1.78499e+06
BRI,7,2.56379e+06
BRI,8,604371
BRI,9,8.33192e+06
BRI,10,584021
BRI,11,1.04685e+06
BRI,12,646361
BRI,13,5.68029e+06
BRI,14,1.61702e+06
BRI,15,1.78117e+06
BRI,19,227158
BRI,20,30424
BRI,21,2.54623e+06
BRI,22,7915
CAD,2,594812
CAD,3,2.38833e+06
CAD,4,6.57506e+06
CAD,5,5.42944e+06
CAD,6,1.27359e+07
CAD,7,2.47082e+06
CAD,8,8.67733e+06
CAD,9,2.79308e+07
CAD,10,1.25525e+07
CAD,11,5.82731e+06
CAD,12,6.6478e+06
CAD,13,1.85926e+07
CAD,14,3.75232e+06
CAD,15,3.30137e+06
CAD,20,141833
CAD,21,1.62653e+07
COL,2,41949
COL,3,193470
COL,4,2.94418e+06
COL,5,1.42397e+06
COL,6,2.43699e+07
COL,7,2.20277e+07
COL,8,1.00915e+07
COL,9,3.95513e+07
COL,10,5.09052e+06
COL,11,2.29396e+06
COL,12,5.98043e+06
COL,13,2.38446e+07
COL,14,4.93389e+06
COL,15,3.38968e+06
COL,19,37200
COL,20,163597
COL,21,3.21104e+06
DEE,2,1583
DEE,3,22939
DEE,4,318469
DEE,5,410399
DEE,6,1.12172e+06
DEE,7,197363
DEE,8,367197
DEE,9,3.02078e+06
DEE,10,51986
DEE,11,128829
DEE,12,121237
DEE,13,912469
DEE,14,122357
DEE,15,145894
DEE,19,24536
DEE,20,2374
DEE,21,1.98031e+06
FOR,2,2.78006e+06
FOR,3,7.1881e+06
FOR,4,9.27128e+06
FOR,5,4.32079e+06
FOR,6,8.17423e+06
FOR,7,2.54782e+06
FOR,8,667019
FOR,9,6.90078e+06
FOR,10,296637
FOR,11,479397
FOR,12,487870
FOR,13,2.64351e+06
FOR,14,480516
FOR,15,712629
FOR,19,90278
FOR,20,67898
FOR,21,5.04387e+06
HOU,2,857180
HOU,3,3.4998e+06
HOU,4,1.73758e+07
HOU,5,1.02639e+07
HOU,6,2.79815e+06
HOU,7,1.52685e+06
HOU,8,2.75524e+07
HOU,9,1.44418e+08
HOU,10,3.70934e+07
HOU,11,3.55457e+07
HOU,12,4.32854e+07
HOU,13,7.68918e+07
HOU,14,4.54691e+07
HOU,15,1.76723e+07
HOU,19,70443
HOU,20,1.05266e+06
HOU,21,1.30737e+08
HOU,22,13455
HUD,2,8706
HUD,3,14867
HUD,4,312728
HUD,5,9498
HUD,6,8.71183e+06
HUD,7,7.58933e+06
HUD,8,356533
HUD,9,3.659e+06
HUD,10,49864
HUD,11,279168
HUD,12,1.37303e+06
HUD,13,2.18662e+06
HUD,14,828609
HUD,15,381316
HUD,19,150384
HUD,20,70443
HUD,21,1.89769e+06
INT,2,24183
INT,3,228779
INT,4,1.97225e+06
INT,5,530999
INT,6,1.13097e+07
INT,7,1.90352e+06
INT,8,4.08758e+06
INT,9,2.9368e+07
INT,10,2.15329e+06
INT,11,2.24228e+06
INT,12,1.61049e+06
INT,13,4.68512e+06
INT,14,546062
INT,15,687324
INT,19,7123
INT,20,94979
INT,21,6.51229e+06
LGL,2,13455
LGL,3,127567
LGL,4,1.78446e+06
LGL,5,71066
LGL,6,3.76266e+06
LGL,7,675372
LGL,8,9.90542e+06
LGL,9,5.15905e+07
LGL,10,2.43662e+06
LGL,11,3.38399e+06
LGL,12,2.56057e+06
LGL,13,2.37033e+06
LGL,14,602531
LGL,15,254069
LGL,19,13455
LGL,20,2.95054e+06
LGL,21,2.59021e+07
LIM,3,537
LIM,4,56039
LIM,5,10011
LIM,6,481385
LIM,7,480131
LIM,8,18978
LIM,9,66153
LIM,10,10289
LIM,11,21347
LIM,12,28354
LIM,13,33243
LIM,14,26788
LIM,15,35377
LIM,19,3957
LIM,21,169379
LRO,4,33062
LRO,5,791
LRO,6,636359
LRO,7,228628
LRO,8,9361
LRO,9,87514
LRO,10,1583
LRO,11,2374
LRO,12,57304
LRO,13,147354
LRO,14,36409
LRO,15,29285
LRO,19,11872
LRO,21,111571
MAN,3,8706
MAN,4,276396
MAN,5,37972
MAN,6,3.93405e+06
MAN,7,2.52261e+06
MAN,8,110695
MAN,9,969552
MAN,10,215863
MAN,11,149691
MAN,12,150480
MAN,13,684117
MAN,14,113847
MAN,15,99641
MAN,19,25328
MAN,20,3918
MAN,21,630649
MAR,2,56987
MAR,3,312832
MAR,4,964481
MAR,5,735267
MAR,6,438540
MAR,7,102894
MAR,8,4.69954e+06
MAR,9,1.37635e+07
MAR,10,2.31251e+06
MAR,11,1.89354e+06
MAR,12,3.05188e+06
MAR,13,5.41834e+06
MAR,14,672751
MAR,15,676220
MAR,19,21370
MAR,20,924504
MAR,21,7.84211e+06
NEP,2,2374
NEP,3,91647
NEP,4,523354
NEP,5,921509
NEP,6,1.34702e+06
NEP,7,2.10583e+06
NEP,8,196612
NEP,9,2.19554e+06
NEP,10,135756
NEP,11,191044
NEP,12,202710
NEP,13,1.08513e+06
NEP,14,652860
NEP,15,617364
NEP,19,15038
NEP,20,3957
NEP,21,1.78479e+06
NEP,22,11081
ORE,2,131930
ORE,3,860630
ORE,4,2.60181e+06
ORE,5,2.65968e+06
ORE,6,244723
ORE,7,34039
ORE,8,40685
ORE,9,1.06007e+06
ORE,10,107426
ORE,11,185814
ORE,12,89871
ORE,13,777395
ORE,14,337972
ORE,15,337377
ORE,19,70360
ORE,20,2374
ORE,21,770122
PAR,2,3957
PAR,3,337290
PAR,4,1.8544e+06
PAR,5,1.05399e+06
PAR,6,6.46245e+06
PAR,7,2.59358e+06
PAR,8,5.3642e+06
PAR,9,1.30927e+07
PAR,10,1.76244e+06
PAR,11,1.33805e+06
PAR,12,2.46496e+06
PAR,13,2.09663e+07
PAR,14,1.09402e+07
PAR,15,2.75404e+06
PAR,19,3166
PAR,20,103705
PAR,21,7.66468e+06
PLA,2,79470
PLA,3,1.1606e+06
PLA,4,1.14035e+07
PLA,5,1.56102e+06
PLA,6,4.53092e+07
PLA,7,6.64586e+06
PLA,8,6.06762e+07
PLA,9,2.13832e+08
PLA,10,3.3258e+07
PLA,11,1.56347e+07
PLA,12,2.47678e+07
PLA,13,2.38915e+07
PLA,14,5.33444e+06
PLA,15,4.29791e+06
PLA,19,136928
PLA,20,1.16592e+06
PLA,21,3.5037e+07
PLA,22,33243
PON,2,121624
PON,3,499063
PON,4,2.72454e+06
PON,5,4.6539e+06
PON,6,1.2864e+06
PON,7,4.75661e+06
PON,8,1.95962e+06
PON,9,1.98976e+07
PON,10,384382
PON,11,1.18221e+06
PON,12,988459
PON,13,6.88065e+06
PON,14,3.38356e+06
PON,15,3.43875e+06
PON,19,136899
PON,20,125056
PON,21,3.9793e+06
PON,22,18996
POS,2,1583
POS,3,21358
POS,4,447019
POS,5,24352
POS,6,6.87325e+06
POS,7,5.63355e+06
POS,8,113514
POS,9,2.10234e+06
POS,10,24233
POS,11,326804
POS,12,362541
POS,13,2.93522e+06
POS,14,636013
POS,15,478929
POS,19,41949
POS,20,1583
POS,21,698118
ROU,2,1014
ROU,3,15038
ROU,4,56501
ROU,5,8846
ROU,6,13157
ROU,7,22551
ROU,8,8623
ROU,9,555956
ROU,10,57619
ROU,11,85872
ROU,12,54954
ROU,13,309421
ROU,14,270690
ROU,15,26911
ROU,19,21370
ROU,20,28438
ROU,21,156340
SAN,2,26911
SAN,3,382701
SAN,4,2.84954e+06
SAN,5,864660
SAN,6,1.13403e+07
SAN,7,2.79085e+06
SAN,8,3.53933e+06
SAN,9,1.75212e+07
SAN,10,2.88881e+06
SAN,11,2.42666e+06
SAN,12,3.72781e+06
SAN,13,2.57485e+07
SAN,14,7.21991e+06
SAN,15,2.29293e+06
SAN,19,142469
SAN,20,10289
SAN,21,6.3343e+06
SAN,22,129805
SIL,2,59475
SIL,3,560817
SIL,4,2.37102e+06
SIL,5,1.85272e+06
SIL,6,6.98417e+06
SIL,7,2.20342e+06
SIL,8,2.1839e+06
SIL,9,1.6607e+06
SIL,10,556923
SIL,11,256791
SIL,12,445428
SIL,13,295970
SIL,14,112392
SIL,15,199385
SIL,19,11081
SIL,20,278671
SIL,21,2.55652e+06
STO,2,314821
STO,3,1.91791e+06
STO,4,8.03323e+06
STO,5,1.11967e+07
STO,6,1.5869e+07
STO,7,2.42969e+07
STO,8,4.79662e+06
STO,9,5.15873e+07
STO,10,3.24598e+06
STO,11,5.43022e+06
STO,12,3.43797e+06
STO,13,2.73769e+07
STO,14,6.45091e+06
STO,15,3.8217e+06
STO,19,223992
STO,20,3.10396e+06
STO,21,9.48621e+06
STO,22,15830
SUG,3,11169
SUG,4,104564
SUG,5,16790
SUG,6,21555
SUG,7,55370
SUG,8,2374
SUG,9,193580
SUG,10,6994
SUG,11,34336
SUG,12,5836
SUG,13,146779
SUG,14,21332
SUG,15,29741
SUG,19,18204
SUG,20,8236
SUG,21,231116
WIX,2,177765
WIX,3,2.50907e+06
WIX,4,2.7841e+07
WIX,5,1.03706e+07
WIX,6,8.7331e+07
WIX,7,8.08436e+07
WIX,8,8.84422e+07
WIX,9,3.01637e+08
WIX,10,4.36507e+07
WIX,11,3.54945e+07
WIX,12,9.29383e+07
WIX,13,2.74188e+08
WIX,14,8.52487e+07
WIX,15,7.34462e+07
WIX,19,387040
WIX,20,1.06785e+06
WIX,21,2.26518e+07
WTL,2,113183
WTL,3,350490
WTL,4,1.86027e+06
WTL,5,705821
WTL,6,331635
WTL,7,46698
WTL,8,2.60481e+06
WTL,9,6.59379e+06
WTL,10,2.60283e+06
WTL,11,3.31306e+06
WTL,12,1.216e+06
WTL,13,223130
WTL,14,139011
WTL,15,235033
WTL,19,3957
WTL,20,18204
WTL,21,8.98863e+06
